Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,SRA Study,strain,tissue,isolation_source,cell_line,LoadedStatus
SRR31189887,RNA-Seq,300,12164311800,PRJNA960830,SAMN44528392,Model organism or animal,3975115667,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571393,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo3_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:30:00Z,1,KPC-1_Lo3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189888,ATAC-seq,200,10730897200,PRJNA960830,SAMN44528392,Model organism or animal,3699469658,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571392,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo3_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:35:00Z,1,KPC-1_Lo3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189889,RNA-Seq,300,13444249200,PRJNA960830,SAMN44528391,Model organism or animal,4390839541,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571391,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo2_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:37:00Z,1,KPC-1_Lo2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189890,RNA-Seq,300,14052290100,PRJNA960830,SAMN44528390,Model organism or animal,4549128928,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571390,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-1_Lo1_RNA,PAIRED,PolyA,TRANSCRIPTOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:33:00Z,1,KPC-1_Lo1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-O parental line,,Loaded
SRR31189891,ATAC-seq,200,9631378200,PRJNA960830,SAMN44528405,Model organism or animal,3114240946,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571389,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Hi2_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:28:00Z,1,KPC-2_Hi2,biological replicate 2,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189892,ATAC-seq,200,9526186000,PRJNA960830,SAMN44528404,Model organism or animal,3079867770,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571388,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Hi1_ATAC_r2,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:30:00Z,1,KPC-2_Hi1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189893,ATAC-seq,200,8393122400,PRJNA960830,SAMN44528404,Model organism or animal,2671140729,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571387,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Hi1_ATAC_r1,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-high,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:27:00Z,1,KPC-2_Hi1,biological replicate 1,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189894,ATAC-seq,200,10728707000,PRJNA960830,SAMN44528403,Model organism or animal,3420955182,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571386,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo5_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:29:00Z,1,KPC-2_Lo5,biological replicate 5,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189895,ATAC-seq,265,11356956900,PRJNA960830,SAMN44528402,Model organism or animal,4837242517,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571385,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo4_ATAC,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:31:00Z,1,KPC-2_Lo4,biological replicate 4,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
SRR31189896,ATAC-seq,284,20608966800,PRJNA960830,SAMN44528401,Model organism or animal,7625357705,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX26571384,uncalculated,uncalculated,not provided,Illumina NovaSeq 6000,KPC-2_Lo3_ATAC_r2,PAIRED,unspecified,GENOMIC,Mus musculus,metastasis-low,ILLUMINA,2025-12-11T00:00:00Z,2024-11-01T07:41:00Z,1,KPC-2_Lo3,biological replicate 3,not provided,SRP435350,C57BL/6J,pancreatic tumor derived cell line,KPC-508F parental line,,Loaded
